id,activity_name,company_type,institution,target,app_period,activity_period,recruit,prefer,activity_benefit,interests,fields,,,,,,,,,,,
100006,[국제청년NGO] 국제청년센터 본부방송국 3기 모집,비영리단체/협회/재단,국제청년센터,대학생,22.8.17 ~ 22.9.22,22.9.23 ~ 23.8.31,00명,"사진/영상/디자인 툴, 콘텐츠 기획/제작 경험, 타 대외활동 경험","행사 참여, 수료증 및 인증서","콘텐츠, 사회공헌/교류","기타, 서포터즈",,,,,,,,,,,
100012,우리말가꿈이 23기 추가 모집,비영리단체/협회/재단,사단법인 한글문화연대,대학생,22.8.16 ~ 22.8.24,22.8.16 ~ 22.8.24,00명,"사진/영상/디자인 툴, 콘텐츠 기획/제작 경험, 휴학 중/시간 투자 가능, 기타","활동비, 수료증 및 인증서","언론/미디어, 사회공헌/교류",서포터즈,,,,,,,,,,,
100014,"하안종합사회복지관 희망플랜광명센터 ""희망서포터즈 4기"" 추가 모집 (학습 코칭, 진로 멘토링 분야)",비영리단체/협회/재단,하안종합사회복지관,"대학생, 직장인/일반인",22.8.17 ~ 22.8.22,22.9.5 ~ 22.11.30,0명,"멘토링/수업 진행 경험, 휴학 중/시간 투자 가능, 타 대외활동 경험","활동비, 봉사활동시간","교육, 사회공헌/교류","서포터즈, 멘토링",,,,,,,,,,,
100016,[2022년 해외선진기술교육 워크숍] Zero Density 버추얼 프로덕션 워크숍,비영리단체/협회/재단,한국메타버스산업협회,대상 제한 없음,22.8.17 ~ 22.9.22,22.10.5 ~ 22.10.7,16명,"콘텐츠 기획/제작 경험, 휴학 중/시간 투자 가능","실무 교육, 수료증 및 인증서","언론/미디어, 과학/공학/기술/IT","강연, 멘토링",,,,,,,,,,,
100019,"거제 한달살기 2기, 3기 모집",스타트업,설 컴퍼니,"대학생, 직장인/일반인",22.8.15 ~ 22.10.10,22.9.19 ~ 22.11.11,00명,"파워블로거/SNS, 콘텐츠 기획/제작 경험","실무 교육, 행사 참여","여행/호텔/항공, 행사/페스티벌",기타,,,,,,,,,,,
100020,서대문형무소 글로벌 청년 플래너 모집,중소기업,펀데이코리아네트웍스,대상 제한 없음,22.8.17 ~ 22.8.22,22.8.23 ~ 22.8.30,5명,외국어,"행사 참여, 봉사활동시간",문화/역사,봉사단-국내,,,,,,,,,,,
100034,[온라인진행] 2022 하반기 대기업 취업전략 특강 & 현직자와의 프랜차이즈 유통 분야 멘토링,중소기업,루키즈 캠퍼스,"대학생, 직장인/일반인",22.8.8 ~ 22.8.23,22.8.23 ~ 22.8.25,00명,"컴퓨터 활용능력, 리더십","실무 교육, 전문가/임직원 멘토링","교육, 창업/자기계발","멘토링, 강연",,,,,,,,,,,
100036,지방 청소년 온+오프라인 멘토링 '나를 찾아 떠나는 여행' 멘토 모집,비영리단체/협회/재단,(재)함께나누는세상,대학생,22.8.17 ~ 22.8.30,22.9.24 ~ 22.11.19,10명,기타,"활동비, 봉사활동시간","교육, 사회공헌/교류","봉사단-국내, 멘토링",,,,,,,,,,,
100054,[과학기술정보통신부 주최] KOREN 대학생 기자단 5기 모집 (~9/7까지),비영리단체/협회/재단,(사)한국능률협회,대학생,22.8.1 ~ 22.9.7,22.9.26 ~ 22.12.16,9명,"파워블로거/SNS, 사진/영상/디자인 툴, 취재/인터뷰/기사 경험, 콘텐츠 기획/제작 경험","활동비, 수료증 및 인증서","언론/미디어, 과학/공학/기술/IT",기자단,,,,,,,,,,,
100055,2022 사하구 사회적경제 창업아카데미,비영리단체/협회/재단,(사)사회적기업연구원,대상 제한 없음,22.8.16 ~ 22.9.21,22.9.26 ~ 22.9.28,20명,기타,수료증 및 인증서,"창업/자기계발, 기타","기타, 강연",,,,,,,,,,,
100075,네이버 MYBOX 트렌드 서포터즈 모집,대기업,네이버클라우드 주식회사,대학생,22.8.16 ~ 22.8.29,22.9.7 ~ 22.12.7,10명,"파워블로거/SNS, 사진/영상/디자인 툴, 콘텐츠 기획/제작 경험, 휴학 중/시간 투자 가능, 타 대외활동 경험","활동비, 수료증 및 인증서","과학/공학/기술/IT, 콘텐츠","서포터즈, 마케터",,,,,,,,,,,
