인덱스,대외활동명,기업명,기업형태,접수기간,모집인원,우대역량,관심분야,활동분야,활동지역,활동기간,참여대상
53987,2023 스카이(SKY) 서포터즈 모집,스카이(SKY),중소기업,23.2.21 ~ 상시모집,00명,"파워블로거/SNS, 사진/영상/디자인 툴, 취재/인터뷰/기사 경험, 콘텐츠 기획/제작 경험, 타 대외활동 경험, 기타",과학/공학/기술/IT콘텐츠,서포터즈,지역 제한없음,23.1.1 ~ 23.12.31,대상 제한 없음
53989,서주제과 모니터 패널,서주제과(주) | 1 기,-,21.1.6 ~ 21.1.19,00명,모두 지원 가능,요리/식품,기타,서울 구로구,21.2.1 ~ 21.4.30,대상 제한 없음
53990,영 크리에이터 크루 기획단 1기 모집,이석영뉴미디어도서관,-,21.1.5 ~ 21.1.15,0명,모두 지원 가능,문화/역사경영/컨설팅/마케팅,서포터즈기타,경기 남양주시,21.2.1 ~ 21.7.31,청소년
53991,2021 관세청 정책기자단 C-STAR 모집,관세청 | 7 기,-,21.1.6 ~ 21.1.27,00명,"사진/영상/디자인 툴, 취재/인터뷰/기사 경험",경제/금융기타,기자단,지역 제한없음,21.2.17 ~ 21.12.31,"대학생, 직장인/일반인"
53993,[독산동우시장일대 도시재생] 미드나잇 in 독산,독산동우시장일대 도시재생지원센터,-,21.1.4 ~ 21.1.15,00명,모두 지원 가능,문화/역사디자인/사진/예술/영상,기타,서울 금천구,21.1.20 ~ 21.2.3,대상 제한 없음
53994,GH공사 영상기자단,GH공사 | 1 기,-,21.1.4 ~ 21.1.11,6명,"파워블로거/SNS, 사진/영상/디자인 툴, 취재/인터뷰/기사 경험, 멘토링/수업 진행 경험, 콘텐츠 기획/제작 경험, 컴퓨터 활용능력, 타 대외활동 경험",디자인/사진/예술/영상콘텐츠,서포터즈기자단,경기,21.1.31 ~ 21.7.30,대학생
53995,2021 문경시 SNS 서포터즈 기자단 모집,문경시,-,21.1.6 ~ 21.1.21,00명,파워블로거/SNS,경영/컨설팅/마케팅콘텐츠,기자단,경상 문경시,21.1.29 ~ 21.12.31,"대학생, 직장인/일반인"
53996,9기 ICN Group 뉴욕 해취고 (해외취업 GO) 서포터즈 모집,ICN Group,-,21.1.4 ~ 21.1.22,10명,모두 지원 가능,경영/컨설팅/마케팅콘텐츠,서포터즈기타,해외,21.2.1 ~ 21.4.1,"대학생, 직장인/일반인"
53997,"2021 시립보라매청소년센터 기후환경, 재난안전, 공공미술 분야 청소년 동아리 모집",서울특별시,-,21.1.6 ~ 21.1.23,00명,모두 지원 가능,디자인/사진/예술/영상환경/에너지,기타,서울,21.3.1 ~ 21.12.31,청소년
53998,2021년 네이처드림센터와 함께하실 N서포터즈 3기 & 플틴 멘토 2기 모집,시립강북청소년센터,-,21.1.7 ~ 21.2.19,00명,모두 지원 가능,교육기타,서포터즈멘토링,서울 강북구,21.2.22 ~ 21.12.31,"대학생, 직장인/일반인"
53999,청우식품 첫맛 만능멸치육수 서포터즈 2기 모집,청우식품,-,21.1.6 ~ 21.1.12,10명,모두 지원 가능,경영/컨설팅/마케팅요리/식품,서포터즈마케터,지역 제한없음,21.1.13 ~ 21.2.28,대상 제한 없음
54000,기후변화센터 U-Savers(유세이버스) 14기 모집,기후변화센터,-,21.1.6 ~ 21.2.16,25명,모두 지원 가능,경영/컨설팅/마케팅환경/에너지,서포터즈,지역 제한없음,21.2.1 ~ 21.11.30,대학생
54001,4차산업 SW기초역량 프로그램 - 엘리스 인공지능(AI) 특화 과정 모집!,엘리스 | 0 기,-,21.1.7 ~ 21.1.13,00명,"콘텐츠 기획/제작 경험, 컴퓨터 활용능력",교육과학/공학/기술/IT,기타,서울 강남구,21.2.2 ~ 21.3.6,"대학생, 직장인/일반인"
