인덱스,대외활동명,기업명,기업형태,접수기간,모집인원,우대역량,관심분야,활동분야,활동지역,활동기간,참여대상
69000,[넥스트 아트페어] 지금 바로! 힙한 디지털아트를 고르세요!!,넥스트아트페어,기타,21.8.31 ~ 21.9.13,00명,"파워블로거/SNS, 사진/영상/디자인 툴",문화/역사,기타,지역 제한없음,21.8.31 ~ 21.9.13,대상 제한 없음
69005,부산청년정책포럼 정책국 홍보국 추가모집,부산청년정책포럼,동아리/학생자치단체,21.9.8 ~ 21.9.13,00명,행사 기획 경험,정치/사회/법률사회공헌/교류,기타강연,부산,21.9.8 ~ 22.3.31,대학생
69006,✨전액 무료✨ 프론트엔드 개발 교육부터 스타트업 채용 매칭까지! [엘리스 SW 엔지니어 트랙 모집],엘리스,중소기업,21.9.6 ~ 21.9.28,00명,"파워블로거/SNS, 컴퓨터 활용능력, 휴학 중/시간 투자 가능",과학/공학/기술/IT창업/자기계발,멘토링강연,지역 제한없음,21.10.25 ~ 22.2.20,"대학생, 직장인/일반인"
69015,2021 부산 e스포츠 토크쇼 4회,부산정보산업진흥원,공공기관/공기업,21.9.8 ~ 21.9.15,30명,기타,행사/페스티벌콘텐츠,강연멘토링,지역 제한없음,21.9.8 ~ 21.9.15,대상 제한 없음
69016,연제청년창업나래센터 『9월 멘토데이』 참여자 모집,연제청년창업나래센터,비영리단체/협회/재단,21.9.6 ~ 21.9.23,20명,기타,창업/자기계발,강연,부산,21.9.6 ~ 21.9.23,"대학생, 직장인/일반인"
69019,"[신입의업무수첩] 예비 영업담당자를 위한 특별한 OJT 수업, 오늘 하루 네이버 영업팀 신입사원되기! (~9/25)",오픈놀,중소기업,21.9.9 ~ 21.9.25,30명,기타,경영/컨설팅/마케팅과학/공학/기술/IT,강연멘토링,지역 제한없음,21.9.9 ~ 21.9.25,"대학생, 직장인/일반인"
69033,[2021 창작공간 교육프로그램 - 피규어 제작 교육 모집],주식회사촉,중소기업,21.8.31 ~ 21.9.10,10명,기타,교육기타,강연기타,전라 순천시,21.9.13 ~ 21.9.17,대상 제한 없음
69040,건강생활실천 디자인·영상 공모전,공모전사무국,-,-,0명,모두 지원 가능,,,-,-,-
69043,목포시 청년ㆍ일자리통합센터 청년 서포터즈 모집,목포시 청년ㆍ일자리통합센터,기타,21.9.7 ~ 21.9.10,3명,파워블로거/SNS,정치/사회/법률기타,서포터즈,전라 목포시,21.9.14 ~ 21.12.15,"대학생, 직장인/일반인"
69044,EBS 멘토링 온라인 멘토 모집 안내,TMD교육그룹,기타,21.9.9 ~ 21.9.16,00명,멘토링/수업 진행 경험,교육,멘토링,지역 제한없음,21.10.1 ~ 22.1.31,대학생
69045,제2기 충북 블록체인 서포터즈 모집,충북과학기술혁신원,기타,21.9.8 ~ 21.9.29,0명,기타,과학/공학/기술/IT,서포터즈,충청,21.10.5 ~ 21.11.30,"대학생, 직장인/일반인"
69046,[Feedst] 얼리어답터가 되고싶은 당신! 피드백플랫폼 '피드스트' 엠버서더/서포터즈 모집,왓츠굿,중소기업,21.9.6 ~ 21.9.20,10명,"파워블로거/SNS, 콘텐츠 기획/제작 경험, 기타",디자인/사진/예술/영상콘텐츠,서포터즈,지역 제한없음,21.9.27 ~ 21.10.12,대상 제한 없음
69048,"아트박스 POOM 서포터즈, 품이안 39기 모집",링커리어,-,-,0명,모두 지원 가능,,,-,-,-
69050,공공의료 서포터즈 <혈액순환> 모집,좋은공공병원만들기운동본부,기타,21.9.6 ~ 21.9.22,0명,기타,의료/보건,서포터즈,지역 제한없음,21.9.30 ~ 22.2.28,대상 제한 없음
69053,SGA eSPORTS 대학생 서포터즈 1기 모집,SGA eSPORTS,중소기업,21.9.6 ~ 21.9.12,4명,사진/영상/디자인 툴,기타,서포터즈,지역 제한없음,21.10.1 ~ 21.12.31,대학생
69061,[2021 중소기업탐방 프로그램] 스포츠산업 실무(스포츠마케팅),(주)맥시머스,외국계기업,21.9.9 ~ 21.9.30,50명,기타,경영/컨설팅/마케팅체육/헬스,강연,지역 제한없음,21.9.9 ~ 21.9.30,대학생
69070,[뷰티 마케터] 스킨1004 서포터즈 1기 모집,주식회사 비투링크,중견기업,21.9.10 ~ 21.9.24,20명,"파워블로거/SNS, 사진/영상/디자인 툴, 콘텐츠 기획/제작 경험",뷰티/미용/화장품콘텐츠,서포터즈마케터,지역 제한없음,21.9.27 ~ 21.12.17,"대학생, 직장인/일반인"
69072,[전액무료] 강원 XR 전문인력 양성과정,xrcampus,중소기업,21.9.9 ~ 21.9.15,40명,휴학 중/시간 투자 가능,교육과학/공학/기술/IT,멘토링강연,"강원 강릉시, 원주시, 춘천시",21.9.27 ~ 21.11.20,"대학생, 직장인/일반인"
69081,위트 반려동물 에디터 6기 모집,주식회사 탑인터큐브,중견기업,21.9.1 ~ 21.9.27,00명,"파워블로거/SNS, 콘텐츠 기획/제작 경험",디자인/사진/예술/영상콘텐츠,마케터서포터즈,지역 제한없음,21.10.1 ~ 21.12.31,대상 제한 없음
69092,[SK여자핸드볼구단] SK슈가글라이더즈 대학생 서포터즈 슈고4기 모집,SK루브리컨츠,대기업,21.9.9 ~ 21.9.22,10명,"사진/영상/디자인 툴, 휴학 중/시간 투자 가능",체육/헬스,서포터즈,지역 제한없음,21.10.1 ~ 22.4.30,대학생
69093,[경남웹툰캠퍼스] 교육프로그램 제작과정3 '스킬업클래스-스케치업',(주)에스앤엘기획 운영사무국,-,-,0명,모두 지원 가능,,,-,-,-
69094,[경남웹툰캠퍼스] 교육프로그램 제작과정3 '스킬업클래스-스케치업',(주)에스앤엘기획 운영사무국,공공기관/공기업,21.9.1 ~ 21.9.28,00명,기타,디자인/사진/예술/영상,강연기타,지역 제한없음,21.9.30 ~ 21.10.22,대상 제한 없음
69096,[경남웹툰캠퍼스] 교육프로그램 제작과정3 '스킬업클래스-3D블렌더',(주)에스앤엘기획 운영사무국,공공기관/공기업,21.9.1 ~ 21.10.1,00명,기타,디자인/사진/예술/영상,기타강연,지역 제한없음,21.10.5 ~ 21.10.27,대상 제한 없음
69097,서울시 산하기관 2021년 AI 양재 허브 대학생 서포터즈,AI 양재 허브,공공기관/공기업,21.9.1 ~ 21.9.22,10명,"사진/영상/디자인 툴, 콘텐츠 기획/제작 경험",경영/컨설팅/마케팅과학/공학/기술/IT,서포터즈,지역 제한없음,21.10.1 ~ 21.12.10,대학생
69099,[데이터 분석 취업 집중 공략] Python 기초 문법을 활용한 DT초급 과정,사단법인 블루문드림,비영리단체/협회/재단,21.8.31 ~ 21.9.26,25명,휴학 중/시간 투자 가능,교육창업/자기계발,멘토링강연,충청 천안시,21.10.7 ~ 21.11.24,대학생
69102,[AI + 머신러닝 기반 다지고 취업뽀개기] Python과 네이버 클로바 AI를 활용한 DT 중급 과정,사단법인 블루문드림,비영리단체/협회/재단,21.8.31 ~ 21.9.26,25명,"멘토링/수업 진행 경험, 휴학 중/시간 투자 가능",교육창업/자기계발,강연멘토링,충청 천안시,21.10.2 ~ 21.11.30,대학생
69104,[KB국민은행] 2021 소프트웨어 경진대회 온라인강연회(10/8),사피엔스4.0,기타,21.9.6 ~ 21.9.26,0명,기타,기타,강연멘토링,지역 제한없음,21.10.8 ~ 21.10.8,대상 제한 없음
69110,전지적 금융시점 3기,복합금융컨설팅(주),중소기업,21.9.9 ~ 21.9.24,00명,타 대외활동 경험,경제/금융경영/컨설팅/마케팅,멘토링강연,서울 중구,21.9.15 ~ 21.9.26,대학생
69114,연제청년창업나래센터 부쿡 BUCOOK 청년푸드메이커 지원 모집,연제청년창업나래센터,비영리단체/협회/재단,21.9.1 ~ 21.9.17,00명,기타,요리/식품,기타,부산,21.9.18 ~ 21.9.27,"대학생, 직장인/일반인"
69117,대학연합 문화마케팅 학회 '컬쳐유니버' 48기 신입 모집,컬쳐유니버,동아리/학생자치단체,21.9.9 ~ 21.9.19,00명,기타,문화/역사경영/컨설팅/마케팅,마케터기타,서울,21.10.2 ~ 22.6.30,대학생
69136,성건강 증진 서포터즈 2기 모집,서울대학교 보건환경연구소,기타,21.9.8 ~ 21.9.17,0명,기타,의료/보건,서포터즈,지역 제한없음,21.9.27 ~ 21.12.3,대학생
69138,2021 경기세계도자비엔날레 온라인 서포터즈 모집,한국도자재단,기타,21.9.9 ~ 21.9.22,10명,"파워블로거/SNS, 기타",행사/페스티벌,서포터즈,지역 제한없음,21.10.1 ~ 21.11.28,"대학생, 직장인/일반인"
69141,대전광역시 동구 여성친화도시조성 서포터즈 4기 모집,링커리어,-,-,0명,모두 지원 가능,,,-,-,-
69144,2021 이데일리 K-모빌리티 포럼,이데일리(주),중견기업,21.9.15 ~ 모집시 마감,00명,기타,과학/공학/기술/IT,강연,지역 제한없음,21.9.10 ~ 21.9.15,대상 제한 없음
69164,부산 이스포츠 경기장 서포터즈 브레인 2기 모집,부산정보산업진흥원,기타,21.9.9 ~ 21.9.22,0명,"사진/영상/디자인 툴, 콘텐츠 기획/제작 경험, 타 대외활동 경험",체육/헬스기타,서포터즈,지역 제한없음,21.10.1 ~ 21.11.30,대학생
69165,[이루JOB] 언택트 맞춤 AI/VR면접 체험 프로그램(~2021/09/30),구로청년이룸,중소기업,21.9.10 ~ 21.9.30,00명,기타,교육창업/자기계발,기타,지역 제한없음,21.9.10 ~ 21.9.30,대상 제한 없음
69173,[국비지원/미국취업연계] 국제하이브리드 경영실무자 양성과정 선발 모집,한국산업인력공단/한국외국어대학교,공공기관/공기업,21.9.10 ~ 21.10.25,25명,기타,경영/컨설팅/마케팅,기타멘토링,지역 제한없음,21.10.25 ~ 22.3.15,대상 제한 없음
69177,독립영화전용관 인디스페이스 관객기자단 인디즈 17기 모집,인디스페이스,기타,21.9.6 ~ 21.9.12,4명,기타,기타,기자단,지역 제한없음,21.10.1 ~ 22.4.30,대상 제한 없음
69195,[온라인/외교부 주최] 2021 청년 중남미 진출 포럼 (9/24),(주)온아시아,중소기업,21.9.10 ~ 21.12.1,00명,기타,경제/금융경영/컨설팅/마케팅,강연,지역 제한없음,21.9.10 ~ 21.9.25,대상 제한 없음
69196,[사단법인 대한민국청소년의회] 뉴스사이트 관리 인턴 모집 (~10/11),(사)대한민국청소년의회,기타,21.9.10 ~ 21.10.11,30명,"파워블로거/SNS, 취재/인터뷰/기사 경험",언론/미디어사회공헌/교류,서포터즈봉사단-국내,지역 제한없음,21.10.11 ~ 22.10.11,"대학생, 직장인/일반인"
69198,힘찬북스 신간도서 서평단 모집 <하고 싶은 일을 하며 살기로 했다>,힘찬북스,중소기업,21.9.10 ~ 모집시 마감,0명,"파워블로거/SNS, 콘텐츠 기획/제작 경험",언론/미디어콘텐츠,기타,지역 제한없음,21.9.10 ~ 21.10.10,대상 제한 없음
69203,2021 문화인력양성 교육프로그램 <나대기 프로젝트> 참여자 모집,중랑문화재단,비영리단체/협회/재단,21.9.13 ~ 모집시 마감,15명,기타,문화/역사교육,멘토링강연,지역 제한없음,21.10.18 ~ 21.12.6,직장인/일반인
69206,배스킨라빈스 서포터즈 3기 모집,배스킨라빈스,대기업,21.9.13 ~ 21.9.23,00명,파워블로거/SNS,콘텐츠,서포터즈마케터,지역 제한없음,21.10.1 ~ 21.12.31,대상 제한 없음
69207,[서울도시재생이야기관] 어반살롱 14회차 - '이원재' 교수 / 문화‧예술의 관점에서 본 도시재생의 사례들,서울도시재생이야기관,비영리단체/협회/재단,21.9.5 ~ 21.9.28,100명,기타,문화/역사콘텐츠,강연,지역 제한없음,21.9.29 ~ 21.9.29,대상 제한 없음
