id,contest_name,company_type,institution,target,rewards,app_period,contest_benefit,fields
100024,제26회 서울환경작품공모전,비영리단체/협회/재단,(사)한국로하스협회,대상 제한 없음,1940만 원,22.8.16 ~ 22.9.15,"기타, 상장 수여","사진/영상/UCC, 기획/아이디어"
100035,"2022년 제10회 아트챌린저 공모, 세계미술작가교류협회 선정 작가",비영리단체/협회/재단,세계미술작가교류협회 세미갤러리,대상 제한 없음,-,22.9.23 ~ 상시모집,"기타, 상장 수여","디자인/순수미술/공예, 사진/영상/UCC"
100050,2022 문화도시 조성사업 로컬콘텐츠 지원사업 참여자 모집 공고,비영리단체/협회/재단,수원 문화재단,대상 제한 없음,300만 원,22.8.8 ~ 22.8.24,기타,"기획/아이디어, 디자인/순수미술/공예"
100056,2022년 생명사랑 로고송 댄스 챌린지 경연대회,공공기관/공기업,전라남도광역정신건강복지센터,대상 제한 없음,950만 원,22.8.16 ~ 22.9.8,"기타, 상장 수여","사진/영상/UCC, 예체능/패션"
100059,천하제일 미에로화이바 그림대회,중견기업,현대약품,대상 제한 없음,650만 원,22.8.16 ~ 22.9.11,기타,디자인/순수미술/공예
100060,"[ERT공동챌린지 1탄] 지역 살리고, 환경 살리고 ? 지방으로 휴가를 떠나 환경보호 활동을 실천해주세요~!",비영리단체/협회/재단,"신기업가정신협의회 ERT, (주)파이브세컨즈",대상 제한 없음,500만 원,22.7.22 ~ 22.9.30,기타,"사진/영상/UCC, 기타"
100113,제7회 청년이야기대상,중소기업,좋은생각사람들,대상 제한 없음,936만 원,22.6.10 ~ 22.9.15,상장 수여,문학/시나리오
100119,제1회 미소고마 춤 경연대회,공공기관/공기업,공주시 / 공주산성상권활성화사업단,대상 제한 없음,470만 원,22.8.18 ~ 22.9.20,기타,"전시/페스티벌, 예체능/패션"
100120,제1회 미소고마 가요제,공공기관/공기업,공주시 / 공주산성상권활성화사업단,대상 제한 없음,560만 원,22.8.18 ~ 22.9.22,기타,"디자인/순수미술/공예, 전시/페스티벌"
100121,2022년 공주시 청렴 아이디어 디자인 공모전,공공기관/공기업,공주시,대상 제한 없음,170만 원,22.9.16 ~ 22.9.21,기타,"기획/아이디어, 디자인/순수미술/공예"
100123,[국토교통과학기술진흥원]2022 창업투자회사와 함께하는 스마트시티 창업 아이디어 공모(~9.2),중소기업,라이징팝스,대상 제한 없음,5000만 원,22.8.8 ~ 22.9.2,기타,기타
100124,2022 항만안전 우수사례 공모전,공공기관/공기업,울산항만공사 / 울산항 해양안전벤트,대학생,500만 원,22.8.11 ~ 22.9.18,기타,기타
100128,중동 먹자골목 사진 공모전,공공기관/공기업,공주시 / 공주산성상권활성화사업단,대상 제한 없음,530만 원,22.9.1 ~ 22.10.31,기타,사진/영상/UCC
100129,2022 D.O.C 댄스 퍼포먼스 경연 참여 팀 모집,공공기관/공기업,부산광역시 / 부산문화재단,대상 제한 없음,300만 원,22.8.8 ~ 22.8.19,기타,전시/페스티벌
100130,제1회 국토정보 창업 공모전,공공기관/공기업,한국국토정보공사 / 전북창조경제혁신센터,"대학생, 직장인/일반인",1억 원,22.8.11 ~ 22.8.31,기타,창업
100132,2022 장 건강의 날 나의 염증성 장질환 극복 조언 공유하장 공모전,비영리단체/협회/재단,대한장연구학회,대상 제한 없음,-,22.7.25 ~ 22.9.30,기타,기획/아이디어
100133,2022 W-ink 우수기업 사례 공모전,공공기관/공기업,여성가족부/인천광역시 / 인천여성가족재단/인천광역새일센터,직장인/일반인,-,22.7.1 ~ 22.8.31,"기타, 상장 수여",기획/아이디어
