인덱스,공모전명,기업명,기업형태,시상규모,공모분야,참여대상,접수기간,활동혜택
80219,제11회 백년서평 공모,백년어서원,기타,95만 원,기획/아이디어,"대학생, 직장인/일반인",22.8.3 ~ 23.4.30,기타
80272,[문체부] 2022 문화 체육 관광 분야 사회적경제기업 우수사례 발굴 공모전 (~3/31),(주)필더필컴퍼니,기타,1100만 원,기획/아이디어,직장인/일반인,22.3.2 ~ 22.3.31,"기타, 상장 수여"
80296,제 4회 멸종위기야생생물 상상그림 및 상상뉴스 공모전(~3/11),스펙토리,공공기관/공기업,340만 원,디자인/순수미술/공예,청소년,22.2.3 ~ 22.3.11,"기타, 상장 수여"
80314,LG유플러스 아이들나라 창작 그림책 공모전,"LG유플러스, 교보문고, 한국그림책출판협회, 보림출판사",대기업,1억 원,문학/시나리오,대상 제한 없음,22.3.2 ~ 22.5.31,기타
80341,[인턴연계] 2022년 인천e음 배달서비스 홍보 영상 공모전,코나아이(주),중견기업,450만 원,사진/영상/UCC,대학생,22.2.28 ~ 22.4.1,인턴/정규직채용
80371,국내 최초 NFT 연계형 패션 디자인 공모전,"주식회사 어이사컴퍼니, 엔에프팅주식회사 / ufostreet",중소기업,480만 원,디자인/순수미술/공예,대상 제한 없음,22.3.1 ~ 22.3.31,실제상용화
80372,2022년 평택형 청년예술인 지원사업,(재)평택시문화재단,비영리단체/협회/재단,6000만 원,디자인/순수미술/공예,"대학생, 직장인/일반인",22.2.14 ~ 22.3.4,기타
80374,2022 근대 도시건축 디자인 공모전,(사)근대도시건축연구와실천을위한모임 + (사)새로운문화를실천하는건축사협의회,비영리단체/협회/재단,900만 원,건축/건설/인테리어,대상 제한 없음,22.3.2 ~ 22.4.22,기타
80376,2022 제31회 부산자랑 10가지 순회 시민예술제 상반기 백일장 공모전,부산광역시,공공기관/공기업,-,문학/시나리오,대상 제한 없음,22.3.2 ~ 22.4.30,기타
80377,광화문글판 2022년 대학생 에세이 공모전,교보생명,중견기업,650만 원,문학/시나리오,대학생,22.3.2 ~ 22.3.31,기타
80379,계간지 문학고을 제36회 등단 신인 작품상 공모 제1차,"문학고을, 문학고을 출판사",비영리단체/협회/재단,-,문학/시나리오,"대학생, 직장인/일반인",22.3.2 ~ 22.3.14,기타
80380,클라우망 용기내챌린지 챌린저 모집,(유)충무타올,중소기업,-,기타,대학생,22.3.2 ~ 22.3.11,기타
