idx,scholarship_name,foundation,scholarship_type,recruit,benefit,target,period,memo
2000,2020년 포스코비전장학,포스코청암재단,장학금,총 00명 선발,장학금지급 : 최대 1440만원,"고등학생, 대학생, 기타/일반",2020. 01. 06. (월) ~ 2020. 01. 31. (금),어려운 환경에서 올바른 품성을 가지고 학업에 정진하는 청소년들을 지원하고자 제철소 인근지역 저소득층 가정 자녀에게 장학금을 지급하는 포스코청암재단의 장학사업입니다.
2001,드림스폰 커피 장학,드림스폰,,인원 미정,,,2016. 06. 15. (수) ~ 2016. 06. 21. (화),
2002,서원대 총동문회 장학 (2019년),서원대학교 총동문회,장학금,총 0명 선발,장학금지급 : 최대 100만원,대학생,2019. 11. 20. (수) ~ 2019. 11. 27. (수),서원대학교 총동문회에서 총동문회비를 납부한 서원대 재학생을 지원하는 장학입니다.
2003,예술인 전세자금대출 (2019년),한국예술인복지재단,대출지원,인원 미정,대출 지원 : 최대 -만원,기타/일반,2019. 11. 18. (월) ~ 2019. 11. 28. (목),한국예술인복지재단이 진행하는 예술인생활안정자금(융자) 전세자금대출 사업입니다.
2004,KRX DREAM 대학생 장학 (2020년),KRX 국민행복재단,장학금,총 40명 선발,장학금지급 : 최대 600만원,"대학생, 전문대생",2019. 11. 01. (금) ~ 2019. 11. 29. (금),KRX 국민행복재단에서 서울 및 부산 소재 대학에 재학 중인 학생을 지원하는 장학입니다.
2005,자격증 장학,드림스폰,,인원 미정,,,2016. 01. 05. (화) ~ 2016. 01. 05. (화),
2006,나의 미래 설계장학,드림스폰,,인원 미정,,,2017. 06. 13. (화) ~ 2017. 07. 07. (금),
2007,우리 모두 같이 하하!호호!,드림스폰,,인원 미정,,,2016. 12. 12. (월) ~ 2016. 12. 12. (월),
2008,뜨거운 6월은 HOT6월,드림스폰,,인원 미정,,,2017. 06. 05. (월) ~ 2017. 06. 09. (금),
2009,50만원 계획 장학,드림스폰,,인원 미정,,,2017. 05. 17. (수) ~ 2017. 05. 27. (토),
2010,국가근로장학 (2020년 1학기),한국장학재단,근로장학,인원 미정,근로비/수당 : 최대 -만원,"대학생, 전문대생","(1차) 2019. 11. 19. (화) ~ 2019. 12. 17. (화)
(2차) 2020. 02. 03. (월) ~ 2020. 03. 23. (월)",한국장학재단에서 시행하는 안정적인 학업여건 조성과 취업역량 제고를 위한 장학금입니다.
2011,제주지역대학 응원장학,KT&G,장학금,총 28명 선발,장학금지급 : 최대 60만원,"대학생, 전문대생",2019. 11. 25. (월) ~ 2019. 12. 18. (수),소소한 실천이 사회를 변화시키는 원동력이 될 수 있음을 전달하고자 제주도 지역 4개 대학을 대상으로 KT&G 제주본부와 제주관광대가 함께 실시하는 장학사업입니다.
2012,강민성장학재단 장학 (2019년),강민성장학재단,장학금,총 00명 선발,장학금지급 : 최대 -만원,"고등학생, 대학생, 전문대생, 대학원생, 기타/일반",2019. 11. 06. (수) ~ 2019. 12. 27. (금),학업에 대한 의지는 있으나 경제적 여건으로 어려움을 겪는 수험생들을 지원하기 위해 장학금을 지급하는 강민성장학재단의 장학사업입니다.
2013,장애부모 자녀 교육비 지원,일주학술문화재단,장학금,총 35명 선발,장학금지급 : 최대 200만원,초등학생,2019. 11. 13. (수) ~ 2019. 12. 27. (금),"장애부모를 둔 아동의 건강한 성장을 위하여 교육비를 지원하는 사업으로, 푸르메재단과 태광그룹 일주학술문화재단이 함께 실시합니다."
2014,장애어린이 형제 교육비 지원,일주학술문화재단,장학금,총 40명 선발,장학금지급 : 최대 200만원,"중학생, 고등학생",2019. 11. 13. (수) ~ 2019. 12. 27. (금),"일주학술문화재단과 푸르메재단이 함께하는 장학사업으로, 장애어린이를 형제로 둔 비장애형제·자매의 건강한 성장을 위해 교육비를 지원합니다."
2015,KC 미래 이공계 장학,KC미래장학재단,장학금,인원 미정,장학금지급 : 최대 500만원,"대학생, 전문대생",2019. 11. 20. (수) ~ 2020. 01. 10. (금),우수 이공계 학생들이 안정적으로 학업을 유지하여 핵심인재로 성장할 수 있도록 장학금을 지급하는 재단법인 KC미래장학재단의 장학사업입니다.
2016,경희대 이수병 장학 (2020년),이수병장학회,장학금,총 5명 선발,장학금지급 : 최대 200만원,대학생,2019. 12. 16. (월) ~ 2020. 01. 15. (수),"사월혁명, 민족통일운동, 민주변혁운동 지도자 이수병선생의 뜻을 기리고, 후학들에게 이를 알리기 위해 실시하는 이수병장학회의 장학사업입니다."
2017,정읍시 다자녀 고등학생 장학,정읍시,장학금,인원 미정,장학금지급 : 최대 -만원,고등학생,2019. 11. 27. (수) ~ 2019. 12. 02. (월),정읍시에서 다자녀 고등학교 재학생의 수업료를 지원하는 장학금입니다.
2018,산청우정학사 입사생 선발 (2020년 1학기),산청군향토장학회,기숙사/주거지원,총 165명 선발,거주 지원 : 최대 -만원,"중학생, 고등학생",2019. 12. 09. (월) ~ 2019. 12. 13. (금),산청군향토장학회에서 관내 중학생과 고등학생을 대상으로 산청우정학사 입사생 선발을 진행합니다.
2019,금천예술공장 입주작가 모집,서울문화재단,기숙사/주거지원,총 80명 선발,거주 지원 : 최대 150만원,기타/일반,2019. 11. 19. (화) ~ 2019. 12. 03. (화),서울문화재단의 지원으로 개인 작업실을 소유하지 않은 예술가와 단체에게 금천예술공장 레지던시 프로그램을 제공합니다.
2020,수원문화재단 행궁길갤러리 대관,수원문화재단,기타장학,총 -명 선발,기타혜택 : 최대 -만원,기타/일반,2019. 11. 15. (금) ~ 2019. 12. 06. (금),수원문화재단에서 수원에서 활동하는 문화예술인 및 단체들에게 전시공간을 제공하는 사업입니다.
2021,한국수자원학회 석박사 장학,한국수자원학회,장학금,총 0명 선발,장학금지급 : 최대 100만원,대학원생,2019. 11. 20. (수) ~ 2019. 12. 13. (금),한국 수자원의 미래를 이끌어갈 인재를 양성하기 위해 한국수자원학회에서 실시하는 장학사업입니다.
2022,인문100년 장학(일시지원),한국장학재단,장학금,인원 미정,장학금지급 : 최대 -만원,대학생,2019. 11. 28. (목) ~ 2019. 12. 06. (금),"한국장학재단에서 인문사회계열 3,4학년 대학 재학생에게 등록금 전액을 지원하는 장학금입니다."
2023,제주대학교 효성장학 (2019년 2학기),제주대학교,장학금,총 5명 선발,장학금지급 : 최대 200만원,대학생,2019. 11. 27. (수) ~ 2019. 12. 02. (월),HVD실증센터가 설치된 제주 행원리 학생들의 발전기금으로 조성된 장학금
