인덱스,장학금명,재단,장학종류,선발인원,장학혜택,선발대상,신청기간,조회수
1103,서울시 학자금대출 이자지원 (2018년 하반기),서울시,대출지원,인원 미정,대출 지원 : 최대 __만원,"대학생, 전문대생, 대학원생, 기타/일반",2018. 12. 31. (월) ~ 2019. 02. 28. (목),조회 : 617
1241,인천시 인재육성장학 (2019년 상반기),(재)인천인재육성재단,장학금,총 458명 선발,장학금지급 : 최대 2200만원,"고등학생, 대학생, 전문대생",2019. 03. 27. (수) ~ 2019. 04. 19. (금),"조회 : 8,219"
1367,국가장학금 (2019년 2학기),한국장학재단,장학금,인원 미정,장학금지급 : 최대 260만원,"대학생, 전문대생","(1차) 2019. 05. 17. (금) ~ 2019. 06. 13. (목)
(2차) 2019. 08. 20. (화) ~ 2019. 09. 10. (화)","조회 : 2,018"
1413,근로장려금 · 자녀장려금,국세청,기타장학,인원 미정,기타혜택 : 최대 150만원,기타/일반,2019. 05. 01. (수) ~ 2019. 12. 02. (월),"조회 : 17,835"
1418,경기노총 장학문화재단 장학 (2019년),경기도노총장학문화재단,장학금,총 00명 선발,장학금지급 : 최대 300만원,"고등학생, 대학생, 전문대생",2019. 04. 01. (월) ~ 2019. 09. 30. (월),"조회 : 6,143"
1518,원주시 중국 허페이 유학장학 (2019년),원주시,"장학금, 기타장학",인원 미정,연수/연구지원 : 최대 약 2700만원,"중학생, 고등학생, 대학생, 전문대생, 대학원생",2019. 06. 14. (금) ~ 2019. 09. 20. (금),"조회 : 1,033"
1520,한의대 미래인재육성 장학 (2019년),대한한의학회,"장학금, 연수/연구장학",총 14명 선발,장학금지급 : 최대 100만원,"대학생, 대학원생",2019. 06. 05. (수) ~ 2019. 10. 18. (금),"조회 : 1,376"
1557,KF 방한연구 펠로십,한국국제교류재단,"장학금, 연수/연구장학",총 30명 선발,장학금지급 : 최대 300만원,대학원생,2019. 07. 01. (월) ~ 2019. 09. 02. (월),"조회 : 1,667"
1558,KF 한국어 펠로십,한국국제교류재단,"장학금, 연수/연구장학",총 40명 선발,장학금지급 : 최대 1440만원,"대학생, 대학원생",2019. 07. 01. (월) ~ 2019. 09. 02. (월),"조회 : 2,366"
1566,한국문화예술위원회 공연장 대관료 지원,한국문화예술위원회,기타장학,인원 미정,기타혜택 : 최대 1500만원,기타/일반,2019. 07. 22. (월) ~ 2019. 08. 23. (금),조회 : 941
1568,월정김용복 장학 (2019년),용복장학회,장학금,인원 미정,장학금지급 : 최대 -만원,"대학생, 전문대생",2019. 07. 15. (월) ~ 2019. 07. 31. (수),"조회 : 2,245"
1569,서울시 학자금대출 이자지원 (2019년 상반기),서울특별시,대출지원,인원 미정,대출 지원 : 최대 -만원,"대학생, 전문대생, 기타/일반",2019. 07. 01. (월) ~ 2019. 09. 22. (일),"조회 : 1,353"
1615,한국여성재단 봄빛기금장학,한국여성재단,장학금,인원 미정,장학금지급 : 최대 200만원,"대학생, 전문대생","(1차) 2019. 07. 10. (수) ~ 2019. 08. 09. (금)
(2차) 2019. 08. 28. (수) ~ 2019. 09. 05. (목)","조회 : 4,074"
1621,취업 후 상환 생활비대출 (2019년 2학기),한국장학재단,대출지원,인원 미정,대출 지원 : 최대 150만원,"대학생, 전문대생",2019. 07. 12. (금) ~ 2019. 11. 14. (목),조회 : 724
1622,일반 상환 생활비대출 (2019년 2학기),한국장학재단,대출지원,인원 미정,대출 지원 : 최대 150만원,"대학생, 전문대생, 대학원생",2019. 07. 12. (금) ~ 2019. 11. 14. (목),"조회 : 1,475"
1641,강민성장학재단 장학,강민성장학재단,장학금,인원 미정,장학금지급 : 최대 __만원,"고등학생, 대학생, 전문대생, 대학원생, 기타/일반",2019. 07. 01. (월) ~ 2019. 08. 09. (금),"조회 : 2,614"
1655,한국장학재단 푸른등대장학,한국장학재단,장학금,총 70명 선발,장학금지급 : 최대 150만원,"대학생, 전문대생","(1차) 2019. 07. 26. (금) ~ 2019. 08. 13. (화)
(2차) 2019. 08. 29. (목) ~ 2019. 09. 16. (월)","조회 : 4,411"
1664,숲과나눔 재단 인재양성 장학,숲과나눔,기타장학,인원 미정,연수/연구지원 : 최대 20000만원,대학원생,2019. 08. 21. (수) ~ 2019. 09. 01. (일),"조회 : 3,821"
1666,광양시 백운장학 (2019년),(재)백운장학회,장학금,총 525명 선발,장학금지급 : 최대 250만원,"초등학생, 중학생, 고등학생, 대학생, 전문대생, 대학원생",2019. 08. 01. (목) ~ 2019. 09. 02. (월),"조회 : 1,115"
1677,서울꿈길 장학,서울장학재단,장학금,총 100명 선발,장학금지급 : 최대 150만원,"중학생, 고등학생",2019. 08. 05. (월) ~ 2019. 08. 21. (수),"조회 : 3,122"
1680,소상공인 디딤돌 장학,서울장학재단,장학금,총 100명 선발,장학금지급 : 최대 100만원,"중학생, 고등학생, 대학생, 전문대생",2019. 08. 05. (월) ~ 2019. 08. 30. (금),"조회 : 2,095"
1686,숙명여대 솔트-팬 장학 (2019년 2학기),사단법인 솔트-팬,장학금,총 00명 선발,장학금지급 : 최대 1000만원,"대학생, 대학원생",2019. 08. 03. (토) ~ 2019. 08. 14. (수),조회 : 723
1692,충북인재양성재단 장학,충북인재양성재단,장학금,총 545명 선발,장학금지급 : 최대 200만원,"초등학생, 중학생, 고등학생, 대학생, 전문대생",2019. 08. 12. (월) ~ 2019. 08. 30. (금),"조회 : 1,402"
1693,은퇴 국가대표 대학원진학 장학 (2019년),국민체육진흥공단,장학금,인원 미정,장학금지급 : 최대 1000만원,대학원생,2019. 08. 01. (목) ~ 2019. 08. 30. (금),조회 : 337
1698,제주 탐나는 인재 모집,제주더큰내일센터,"연수/연구장학, 취업연계/산학장학, 기타장학",총 100명 선발,기타혜택 : 최대 3600만원,기타/일반,2019. 08. 01. (목) ~ 2019. 08. 23. (금),조회 : 843
1699,<청춘마이크> 청년예술가 활동지원(추가공모),지역문화진흥원,기타장학,인원 미정,활동 지원 : 최대 210만원,기타/일반,2019. 08. 06. (화) ~ 2019. 08. 19. (월),조회 : 497
1700,영광군 원전주변지역 장학,영광군,장학금,인원 미정,장학금지급 : 최대 100만원,"초등학생, 중학생, 고등학생, 대학생, 전문대생",2019. 07. 24. (수) ~ 2019. 08. 23. (금),조회 : 410
1701,강진군민 장학 (2019년 하반기),강진군민장학재단,장학금,총 98명 선발,장학금지급 : 최대 300만원,"중학생, 고등학생, 대학생, 전문대생",2019. 08. 12. (월) ~ 2019. 08. 26. (월),조회 : 545
1704,2019년 하반기 해남군 장학,해남군,장학금,총 172명 선발,장학금지급 : 최대 100만원,"초등학생, 중학생, 고등학생",2019. 08. 09. (금) ~ 2019. 08. 23. (금),조회 : 260
1705,대전 인재육성 청년희망 장학 (하반기),대전인재육성장학재단,장학금,총 120명 선발,장학금지급 : 최대 100만원,"대학생, 전문대생",2019. 08. 12. (월) ~ 2019. 08. 30. (금),"조회 : 1,177"
1706,광산장학회 장학 (2019년),광산장학회,장학금,총 73명 선발,장학금지급 : 최대 150만원,"초등학생, 중학생, 고등학생, 대학생, 전문대생",2019. 08. 12. (월) ~ 2019. 08. 30. (금),"조회 : 1,689"
1707,광양시 광영장학 (2019년),(재)광영장학회,장학금,총 20명 선발,장학금지급 : 최대 100만원,"대학생, 전문대생",2019. 08. 01. (목) ~ 2019. 08. 31. (토),조회 : 361
1708,광주 동구 인재육성장학,광주 동구 인재육성장학회,장학금,총 68명 선발,장학금지급 : 최대 200만원,"고등학생, 대학생, 전문대생",2019. 08. 05. (월) ~ 2019. 08. 30. (금),조회 : 611
1709,경남 청년구직활동 지원사업,경상남도,"취업연계/산학장학, 기타장학","총 2,404명 선발",활동 지원 : 최대 200만원,기타/일반,2019. 08. 12. (월) ~ 2019. 08. 31. (토),조회 : 973
1710,영동군민장학회 장학 (2019년),영동군민장학회,장학금,총 257명 선발,장학금지급 : 최대 150만원,"초등학생, 중학생, 고등학생, 대학생, 전문대생",2019. 08. 12. (월) ~ 2019. 09. 02. (월),조회 : 318
1711,수동농협 조합원자녀 장학 (2019년),수동농업협동조합,장학금,총 15명 선발,장학금지급 : 최대 100만원,"대학생, 전문대생",2019. 08. 01. (목) ~ 2019. 08. 23. (금),조회 : 230
1713,경희대 총동문회 봉사 장학 (2019년),경희대학교총동문회,"장학금, 장학프로그램",총 00명 선발,장학금지급 : 최대 200만원,대학생,2019. 08. 01. (목) ~ 2019. 08. 25. (일),조회 : 460
1714,의성군 성적우수장학,의성군인재육성재단,장학금,총 104명 선발,장학금지급 : 최대 250만원,"중학생, 고등학생, 대학생, 전문대생",2019. 08. 19. (월) ~ 2019. 08. 26. (월),조회 : 280
1715,노엽문화재단 장학 (2019년),노엽문화재단,장학금,인원 미정,장학금지급 : 최대 720만원,대학생,2019. 08. 01. (목) ~ 2019. 08. 30. (금),"조회 : 1,115"
1718,충북인재양성재단 도내대학 장학,충북인재양성재단,장학금,총 62명 선발,장학금지급 : 최대 200만원,"대학생, 전문대생",2019. 08. 12. (월) ~ 2019. 09. 11. (수),조회 : 944
1719,총신대 삼일교회 장학 (2019년 2학기),삼일교회,장학금,총 20명 선발,장학금지급 : 최대 120만원,대학생,2019. 08. 19. (월) ~ 2019. 09. 04. (수),조회 : 567
1720,광주시 빛고을장학(2019년),빛고을장학재단,장학금,총 244명 선발,장학금지급 : 최대 150만원,"중학생, 고등학생, 대학생, 전문대생",2019. 08. 14. (수) ~ 2019. 09. 06. (금),"조회 : 1,763"
1721,포항시장학회 장학 (2019년),포항시장학회,장학금,총 356명 선발,장학금지급 : 최대 200만원,"대학생, 전문대생",2019. 08. 20. (화) ~ 2019. 09. 09. (월),조회 : 824
1722,2019년 양천구 장학,양천구,장학금,인원 미정,장학금지급 : 최대 150만원,"초등학생, 중학생, 고등학생, 대학생, 전문대생",2019. 08. 19. (월) ~ 2019. 09. 11. (수),조회 : 970
1730,2019년 천안사랑장학,천안사랑장학재단,장학금,총 386명 선발,장학금지급 : 최대 120만원,"고등학생, 대학생, 전문대생",2019. 09. 02. (월) ~ 2019. 09. 10. (화),"조회 : 1,358"
1732,금천미래 장학 (2019년),금천미래장학회,장학금,총 48명 선발,장학금지급 : 최대 180만원,"초등학생, 중학생, 고등학생, 기타/일반",2019. 08. 26. (월) ~ 2019. 08. 30. (금),조회 : 568
1733,국가보훈처 보훈장학(2019년 2학기),국가보훈처,장학금,총 302명 선발,장학금지급 : 최대 115만원,"대학원생, 기타/일반","(1차) 2019. 09. 02. (월) ~ 2019. 09. 11. (수)
(2차) 2019. 10. 14. (월) ~ 2019. 10. 25. (금)","조회 : 1,122"
1734,서대문구 주민소득지원·생활안정기금 융자신청,서대문구,대출지원,인원 미정,대출 지원 : 최대 3000만원,"대학생, 전문대생, 대학원생, 기타/일반",2019. 08. 19. (월) ~ 2019. 08. 30. (금),조회 : 262
1739,국가보훈처 보훈가족장학,국가보훈처,장학금,인원 미정,장학금지급 : 최대 90만원,"대학생, 전문대생",2019. 09. 02. (월) ~ 2019. 09. 11. (수),조회 : 553
1742,울진군 대학생 장학 (2019년 2차),울진군장학재단,장학금,총 190명 선발,장학금지급 : 최대 250만원,"대학생, 전문대생",2019. 09. 02. (월) ~ 2019. 09. 18. (수),조회 : 275
1744,일운재단 희망나눔장학,일운과학기술재단,장학금,총 0명 선발,장학금지급 : 최대 2000만원,대학원생,2019. 08. 26. (월) ~ 2019. 09. 19. (목),"조회 : 2,033"
1751,왕십리2동 장학,왕십리2동 장학회,장학금,총 6명 선발,장학금지급 : 최대 200만원,"고등학생, 대학생, 전문대생",2019. 08. 26. (월) ~ 2019. 09. 09. (월),조회 : 612
1752,인천 서구 서동이장학 (2019년),서동이장학회,장학금,총 133명 선발,장학금지급 : 최대 500만원,"초등학생, 중학생, 고등학생, 대학생, 전문대생",2019. 08. 28. (수) ~ 2019. 09. 10. (화),조회 : 492
1753,춘천시 봄내장학 (2019년 하반기),춘천시민장학복지재단,장학금,인원 미정,장학금지급 : 최대 100만원,"중학생, 고등학생, 대학생",2019. 09. 16. (월) ~ 2019. 09. 20. (금),조회 : 701
1777,제주대 자매국수 장학 (2019년),제주대학교,장학금,총 6명 선발,장학금지급 : 최대 100만원,대학생,2019. 09. 01. (일) ~ 2019. 09. 10. (화),조회 : 295
1778,예술 프로젝트 성장 지원사업 (2019년),임팩트스테이션,장학프로그램,인원 미정,활동 지원 : 최대 100만원,기타/일반,2019. 09. 01. (일) ~ 2019. 09. 16. (월),조회 : 529
1779,숭실대장학회 장학 (2019년 2학기),숭실대학교 장학회,장학금,총 40명 선발,장학금지급 : 최대 000만원,대학생,2019. 08. 26. (월) ~ 2019. 09. 16. (월),조회 : 399
1783,서울과기대 유병찬 도일상사 멘토링 장학,서울과학기술대학교발전기금,장학금,총 5명 선발,장학금지급 : 최대 100만원,대학생,2019. 09. 04. (수) ~ 2019. 09. 16. (월),조회 : 403
