,idx,foundation,scholarship_type,근로장학,기숙사/주거지원,기타장학,대출지원,연수/연구장학,장학금,취업연계/산학장학,target,고등학생,기타/일반,대학생,대학원생,전문대생,중학생,청년,초등학생,선발 인원(명),선발인원규모,장학혜택(만원),장학혜택규모,memo
0,2000,포스코청암재단,장학금,0,0,0,0,0,1,0,"고등학생, 대학생, 기타/일반",1,1,1,0,0,0,0,0,99,대,1440,대,어려운 환경에서 올바른 품성을 가지고 학업에 정진하는 청소년들을 지원하고자 제철소 인근지역 저소득층 가정 자녀에게 장학금을 지급하는 포스코청암재단의 장학사업입니다.
2,2002,서원대학교 총동문회,장학금,0,0,0,0,0,1,0,대학생,0,0,1,0,0,0,0,0,9,소,100,소,서원대학교 총동문회에서 총동문회비를 납부한 서원대 재학생을 지원하는 장학입니다.
3,2003,한국예술인복지재단,대출지원,0,0,0,1,0,0,0,기타/일반,0,1,0,0,0,0,0,0,0,인원미정,0,금액미정,한국예술인복지재단이 진행하는 예술인생활안정자금(융자) 전세자금대출 사업입니다.
4,2004,KRX 국민행복재단,장학금,0,0,0,0,0,1,0,"대학생, 전문대생",0,0,1,0,1,0,0,0,40,중,600,대,KRX 국민행복재단에서 서울 및 부산 소재 대학에 재학 중인 학생을 지원하는 장학입니다.
10,2010,한국장학재단,근로장학,1,0,0,0,0,0,0,"대학생, 전문대생",0,0,1,0,1,0,0,0,0,인원미정,0,금액미정,한국장학재단에서 시행하는 안정적인 학업여건 조성과 취업역량 제고를 위한 장학금입니다.
11,2011,KT&G,장학금,0,0,0,0,0,1,0,"대학생, 전문대생",0,0,1,0,1,0,0,0,28,중,60,소,소소한 실천이 사회를 변화시키는 원동력이 될 수 있음을 전달하고자 제주도 지역 4개 대학을 대상으로 KT&G 제주본부와 제주관광대가 함께 실시하는 장학사업입니다.
12,2012,강민성장학재단,장학금,0,0,0,0,0,1,0,"고등학생, 대학생, 전문대생, 대학원생, 기타/일반",1,1,1,1,1,0,0,0,99,대,0,금액미정,학업에 대한 의지는 있으나 경제적 여건으로 어려움을 겪는 수험생들을 지원하기 위해 장학금을 지급하는 강민성장학재단의 장학사업입니다.
13,2013,일주학술문화재단,장학금,0,0,0,0,0,1,0,초등학생,0,0,0,0,0,0,0,1,35,중,200,중,"장애부모를 둔 아동의 건강한 성장을 위하여 교육비를 지원하는 사업으로, 푸르메재단과 태광그룹 일주학술문화재단이 함께 실시합니다."
14,2014,일주학술문화재단,장학금,0,0,0,0,0,1,0,"중학생, 고등학생",1,0,0,0,0,1,0,0,40,중,200,중,"일주학술문화재단과 푸르메재단이 함께하는 장학사업으로, 장애어린이를 형제로 둔 비장애형제·자매의 건강한 성장을 위해 교육비를 지원합니다."
15,2015,KC미래장학재단,장학금,0,0,0,0,0,1,0,"대학생, 전문대생",0,0,1,0,1,0,0,0,0,인원미정,500,대,우수 이공계 학생들이 안정적으로 학업을 유지하여 핵심인재로 성장할 수 있도록 장학금을 지급하는 재단법인 KC미래장학재단의 장학사업입니다.
16,2016,이수병장학회,장학금,0,0,0,0,0,1,0,대학생,0,0,1,0,0,0,0,0,5,소,200,중,"사월혁명, 민족통일운동, 민주변혁운동 지도자 이수병선생의 뜻을 기리고, 후학들에게 이를 알리기 위해 실시하는 이수병장학회의 장학사업입니다."
17,2017,정읍시,장학금,0,0,0,0,0,1,0,고등학생,1,0,0,0,0,0,0,0,0,인원미정,0,금액미정,정읍시에서 다자녀 고등학교 재학생의 수업료를 지원하는 장학금입니다.
18,2018,산청군향토장학회,기숙사/주거지원,0,1,0,0,0,0,0,"중학생, 고등학생",1,0,0,0,0,1,0,0,165,대,0,금액미정,산청군향토장학회에서 관내 중학생과 고등학생을 대상으로 산청우정학사 입사생 선발을 진행합니다.
19,2019,서울문화재단,기숙사/주거지원,0,1,0,0,0,0,0,기타/일반,0,1,0,0,0,0,0,0,80,대,150,중,서울문화재단의 지원으로 개인 작업실을 소유하지 않은 예술가와 단체에게 금천예술공장 레지던시 프로그램을 제공합니다.
20,2020,수원문화재단,기타장학,0,0,1,0,0,0,0,기타/일반,0,1,0,0,0,0,0,0,0,인원미정,0,금액미정,수원문화재단에서 수원에서 활동하는 문화예술인 및 단체들에게 전시공간을 제공하는 사업입니다.
21,2021,한국수자원학회,장학금,0,0,0,0,0,1,0,대학원생,0,0,0,1,0,0,0,0,9,소,100,소,한국 수자원의 미래를 이끌어갈 인재를 양성하기 위해 한국수자원학회에서 실시하는 장학사업입니다.
22,2022,한국장학재단,장학금,0,0,0,0,0,1,0,대학생,0,0,1,0,0,0,0,0,0,인원미정,0,금액미정,"한국장학재단에서 인문사회계열 3,4학년 대학 재학생에게 등록금 전액을 지원하는 장학금입니다."
23,2023,제주대학교,장학금,0,0,0,0,0,1,0,대학생,0,0,1,0,0,0,0,0,5,소,200,중,HVD실증센터가 설치된 제주 행원리 학생들의 발전기금으로 조성된 장학금
24,2024,SOLVAY,장학금,0,0,0,0,0,1,0,대학원생,0,0,0,1,0,0,0,0,0,인원미정,4800,대,"솔베이에서 이공계열, 약학계열, 사회계열 대학원생에게 최대 4,800만원을 지원하는 장학금입니다."
25,2025,삼성 드림클래스,"장학금, 장학프로그램, 근로장학",1,0,0,0,0,1,0,"대학생, 전문대생",0,0,1,0,1,0,0,0,0,인원미정,0,금액미정,교육 여건이 부족한 중학생들에게 꿈과 희망을 심어 주고 학업의지를 고취시키고자하는 방과후 주중·주말교실 프로그램에 대학생 멘토를 모집하고 있습니다.
